timestamp,minValue,maxValue,mean,stdDev,nSamples
8832933500,9.09090614,13.0434809,10.6917267,1.57926607,5
8833933504,9.9099102,12.2807026,11.1023312,1.02024233,4
8834933508,9.9099102,12.2807026,10.8638468,1.03200972,5
8835933512,9.09090614,13.0434809,10.6917267,1.57926619,5
8836933520,9.9099102,11.5044231,10.7107267,0.650970161,4
8837933524,9.9099102,12.2807026,10.7058191,0.967902839,5
8838933528,9.09090614,12.2807026,10.7000456,1.26088727,5
8839933532,9.9099102,11.5044231,10.3896885,0.713890731,5
8840933536,9.9099102,12.2807026,11.2998648,0.996277273,4
8841933540,9.9099102,12.2807026,10.8666945,0.863790929,5
8842933548,9.09090614,13.0434809,10.6917267,1.57926619,5
8843933552,9.9099102,12.2807026,10.9047966,0.992556334,4
8844933556,9.9099102,13.0434809,11.0164022,1.31216776,5
8845933560,9.9099102,11.5044231,10.5505638,0.667894483,5
8846933564,9.9099102,11.5044231,10.5505638,0.667894542,5
8847933568,9.09090614,12.2807026,11.0951138,1.38534439,4
8848933572,9.9099102,12.2807026,10.7029715,1.12008905,5
8849933580,9.09090614,13.0434809,10.6945744,1.47526205,5
8850933592,10.7142868,11.5044231,11.109355,0.45618543,4
8851933588,9.9099102,12.2807026,11.0218735,1.06340075,5
8852933592,9.09090614,11.5044231,10.3867626,0.917924404,5
8853933596,9.9099102,11.5044231,10.7114391,0.563759208,5
8854933604,9.9099102,12.2807026,11.2964001,1.18306279,4
8855933608,9.9099102,12.2807026,10.8638468,1.03200972,5
8856933612,9.09090614,13.0434809,10.8526011,1.51955497,5
8857933616,10.7142868,11.5044231,10.9118214,0.395068139,4
8858933620,9.9099102,11.5044231,10.7085905,0.797263026,5
8859933624,9.09090614,11.5044231,10.7056656,0.985345542,5
8860933632,9.09090614,12.2807026,10.5391703,1.30901229,5
8861933632,9.09090614,11.5044231,10.9010439,1.20675838,4
8862933640,9.9099102,12.2807026,10.8638468,1.03200972,5
8863933652,9.09090614,13.0434809,10.6945744,1.47526157,5
8864933648,10.7142868,11.5044231,10.9118214,0.395068139,4
8865933652,9.9099102,12.2807026,10.8666954,0.863790691,5
8866933656,9.09090614,12.2807026,10.5420179,1.18191183,5
8867933664,9.09090614,12.2807026,10.5391703,1.30901229,5
8868933668,9.9099102,12.2807026,11.2998648,0.996277273,4
8869933672,9.9099102,12.2807026,10.8666945,0.863790929,5
8870933676,9.09090614,13.0434809,10.6945744,1.47526157,5
8871933680,9.9099102,12.2807026,10.9047966,0.992556334,4
8872933684,9.9099102,12.2807026,10.8638458,1.03201008,5
8873933688,9.09090614,11.5044231,10.3867626,0.917924404,5
8874933696,9.9099102,12.2807026,10.7058201,0.967902839,5
8875933700,9.09090614,11.5044231,10.9010439,1.20675838,4
8876933708,9.9099102,12.2807026,10.7029715,1.12008905,5
8877933708,9.09090614,13.7931051,10.8444986,1.78021979,5
8878933712,9.09090614,11.5044231,10.5059757,1.01424956,4
