timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8654527832,28.9286232,72.7045441,0,4
8654547696,28.9286232,72.7045441,0,4
8654567692,28.9286232,72.6050797,0,4
8654587696,28.9286232,72.2959595,0,4
8654607696,28.9286232,72.0633316,0,4
8654627708,28.9286232,74.6613541,0,4
8654647848,28.9286232,73.0875244,0,4
8654667848,28.9286232,73.6609268,0,4
8654687848,28.9286232,72.6142731,0,4
8654707844,28.9286232,72.7409515,0,4
8654727848,28.9286232,74.261673,0,4
8654747828,28.9286232,72.1825714,0,4
8654767828,28.9286232,71.7294235,0,4
8654787828,28.9286232,73.3095779,0,4
8654807824,28.9286232,72.8038025,0,4
8654827828,28.9286232,71.5177231,0,4
8654847696,28.9286232,71.5177231,0,4
8654867696,28.9286232,72.3930588,0,4
8654887696,28.9286232,71.1745377,0,4
8654907696,28.9286232,70.7204971,0,4
8654927700,28.9286232,74.2203522,0,4
8654947856,28.9286232,72.0805664,0,4
8654967848,28.9286232,72.6110764,0,4
8654987852,28.9286232,71.296463,0,4
8655007844,28.9286232,71.7637863,0,4
8655027852,28.9286232,72.679306,0,4
8655047832,28.9286232,71.1957321,0,4
8655067828,28.9286232,71.1515961,0,4
8655087832,28.9286232,71.4970703,0,4
8655107828,28.9286232,68.9612885,0,4
8655127836,28.9286232,68.851265,0,4
8655147696,28.9286232,68.851265,0,4
8655167700,28.9286232,69.5200653,0,4
8655187700,28.9286232,69.0622482,0,4
8655207700,28.9286232,70.0871201,0,4
8655227704,28.9286232,73.7346115,0,4
8655247852,28.9286232,71.8789597,0,4
8655267852,28.9286232,72.0328979,0,4
8655287852,28.9286232,70.7015305,0,4
8655307856,28.9286232,71.0584183,0,4
8655327856,28.9286232,71.0012817,0,4
8655347832,28.9286232,69.3359528,0,4
8655367828,28.9286232,69.3084488,0,4
8655387832,28.9286232,70.2770081,0,4
8655407824,28.9286232,69.4896164,0,4
8655427832,28.9286232,69.1128464,0,4
8655447700,28.9286232,69.1128464,0,4
8655467700,28.9286232,69.5482864,0,4
8655487700,28.9286232,68.2264481,0,4
8655507700,28.9286232,67.8318329,0,4
8655527708,28.9286232,68.9468994,0,4
8655547852,28.9286232,67.180336,0,4
8655567848,28.9286232,67.9184952,0,4
8655587848,28.9286232,66.8121719,0,4
8655607848,28.9286232,67.806488,0,4
8655627848,28.9286232,68.8101959,0,4
8655647828,28.9286232,66.8981247,0,4
8655667828,28.9286232,66.0823975,0,4
8655687836,28.9286232,68.5322418,0,4
8655707832,28.9286232,64.8213348,0,4
8655727836,28.9286232,65.237999,0,4
8655747700,28.9286232,65.237999,0,4
8655767700,28.9286232,65.8236237,0,4
8655787700,28.9286232,64.6521378,0,4
8655807700,28.9286232,64.578186,0,4
8655827708,28.9286232,67.9491425,0,4
8655847852,28.9286232,66.3830948,0,4
8655867848,28.9286232,66.9745636,0,4
8655887852,28.9286232,65.6453705,0,4
8655907852,28.9286232,65.7563782,0,4
8655927852,28.9286232,66.3520508,0,4
8655947840,28.9286232,64.9092865,0,4
8655967832,28.9286232,64.4814835,0,4
8655987840,28.9286232,65.2082901,0,4
8656007844,28.9286232,64.4475098,0,4
8656027840,28.9286232,63.8661041,0,4
8656047704,28.9286232,63.8661041,0,4
8656067704,28.9286232,64.0287094,0,4
8656087704,28.9286232,63.6420364,0,4
8656107700,28.9286232,63.7345428,0,4
8656127712,28.9286232,64.8420334,0,4
8656147856,28.9286232,63.4092712,0,4
8656167852,28.9286232,64.0340347,0,4
8656187856,28.9286232,62.9969254,0,4
8656207848,28.9286232,63.0562057,0,4
8656227856,28.9286232,63.6818314,0,4
8656247832,28.9286232,62.7378464,0,4
8656267832,28.9286232,62.358036,0,4
8656287836,28.9286232,62.3070679,0,4
8656307832,28.9286232,60.8495598,0,4
8656327840,28.9286232,60.860733,0,4
8656347704,28.9286232,60.860733,0,4
8656367704,28.9286232,61.2135887,0,4
8656387704,28.9286232,60.5186081,0,4
8656407704,28.9286232,60.5520935,0,4
8656427708,28.9286232,62.6188431,0,4
8656447860,28.9286232,61.6891594,0,4
